,time,jogo,ouro,abates,tempo,torres,inibidores,barons,dragons,arautos,top,jg,mid,adc,sup,lado
60,DetonatioN FM,0,37.1,2,25.54,0,0,0,0,0,Poppy,Xin Zhao,LeBlanc,Jhin,Alistar,0
61,EDward Gaming,1,52.6,15,25.54,9,1,0,3,2,Jayce,Talon,Lissandra,Miss Fortune,Rakan,1
62,T1,1,56.6,8,31.46,8,1,1,2,2,Jayce,Jarvan IV,Zoe,Aphelios,Thresh,0
63,100 Thieves,0,48.2,3,31.46,2,0,0,2,0,Malphite,Lee Sin,Orianna,Ezreal,Leona,1
64,EDward Gaming,0,40.2,1,25.5,2,0,0,0,0,Jayce,Talon,Ryze,Miss Fortune,Yuumi,0
65,T1,1,50.3,13,25.5,10,1,1,3,2,Kennen,Poppy,Twisted Fate,Aphelios,Lulu,1
66,100 Thieves,1,85.6,20,49.21,7,1,0,4,2,Gangplank,Lee Sin,Sylas,Kai'Sa,Alistar,0
67,DetonatioN FM,0,87.5,22,49.21,9,3,2,3,0,Tryndamere,Poppy,Twisted Fate,Miss Fortune,Leona,1
68,DetonatioN FM,0,39.0,4,27.02,2,0,0,1,0,Renekton,Shaco,Zoe,Jhin,Yuumi,0
69,T1,1,51.9,10,27.02,11,3,1,1,2,Graves,Qiyana,Orianna,Aphelios,Lulu,1
70,100 Thieves,1,68.2,21,35.33,9,1,1,4,1,Kennen,Viego,Ryze,Lucian,Nami,0
71,EDward Gaming,0,56.2,4,35.33,3,0,0,1,1,Graves,Xin Zhao,Syndra,Aphelios,Lulu,1
72,Hanwha Life,1,61.4,15,29.59,9,1,2,4,2,Renekton,Viego,Twisted Fate,Aphelios,Thresh,0
73,PSG Talon,0,45.4,2,29.59,3,0,0,0,0,Graves,Xin Zhao,Sylas,Miss Fortune,Leona,1
74,RNG,0,66.7,28,37.31,5,0,0,2,1,Gragas,Lee Sin,LeBlanc,Aphelios,Rell,0
75,Fnatic,1,75.3,26,37.31,10,2,2,4,1,Jayce,Viego,Ryze,Miss Fortune,Nautilus,1
76,PSG Talon,0,49.9,8,32.23,1,0,0,1,1,Gwen,Talon,LeBlanc,Jhin,Yuumi,0
77,RNG,1,59.2,10,32.23,9,1,0,4,1,Camille,Jarvan IV,Twisted Fate,Miss Fortune,Nautilus,1
